Target,Source,Weight
lord,heard,2801
monk,heard,1057
time,time,1437
lord,time,8272
monk,time,2994
knowledg,time,2267
lord,lord,21188
stai,lord,1662
mountain,lord,1247
numer,lord,1945
monk,lord,13872
lord,arhat,2762
lord,free,1256
lord,self,1447
thought,lord,2625
knowledg,lord,7753
lord,nobl,1323
numer,monk,1056
numer,great,1139
monk,monk,5866
monk,arhat,1389
monk,knowledg,3432
monk,like,1400
monk,great,6542
monk,have,1574
duti,monk,1096
great,arhat,1447
great,thought,1310
knowledg,knowledg,1628
knowledg,like,1416
great,knowledg,3778
have,knowledg,1465
knowledg,reach,2083
knowledg,exist,1154
mind,knowledg,1169
time,like,1289
lord,like,4680
great,like,2599
reach,like,1116
great,time,3686
great,lord,15278
great,great,4447
have,great,2582
duti,great,1004
great,reach,3039
great,exist,1852
mind,great,2184
great,perfect,3501
have,time,1528
have,lord,5213
have,reach,1052
have,perfect,1234
duti,lord,2199
reach,time,1565
reach,lord,5405
monk,reach,2743
reach,perfect,1411
lord,exist,3409
monk,exist,1686
exist,discipl,1053
mind,time,1202
mind,lord,4171
mind,monk,1435
mind,perfect,1085
perfect,time,1947
perfect,lord,6950
monk,perfect,3311
knowledg,perfect,1729
perfect,perfect,1336
perfect,discipl,1303
knowledg,discipl,1848
vener,knowledg,1107
reach,discipl,1329
possess,lord,3200
monk,possess,1396
great,possess,1499
lord,transcend,1106
faculti,lord,1092
time,discipl,1552
lord,discipl,5558
monk,discipl,2644
like,discipl,1055
great,discipl,2969
have,discipl,1031
discipl,discipl,1026
vener,lord,3211
vener,monk,1049
vener,great,2077
sâriputra,vener,1260
kâsyapa,lord,1057
kâsyapa,great,1153
sâriputra,time,2258
sâriputra,lord,5577
sâriputra,monk,1028
sâriputra,knowledg,3685
sâriputra,like,1584
sâriputra,great,2532
sâriputra,have,1580
sâriputra,reach,2249
sâriputra,exist,1061
sâriputra,mind,1340
sâriputra,perfect,1150
sâriputra,discipl,1510
sâriputra,sâriputra,4072
vener,thousand,2238
thousand,great,8204
thousand,discipl,3191
bodhisattva,discipl,3325
vener,bodhisattva,2129
lord,train,1575
bodhisattva,train,1662
thousand,time,3898
thousand,lord,17641
numer,thousand,1220
monk,thousand,7906
thousand,arhat,1420
thousand,thought,1328
thousand,knowledg,4024
thousand,like,2282
have,thousand,2509
duti,thousand,1209
thousand,reach,3196
thousand,exist,1968
mind,thousand,2208
thousand,perfect,4205
thousand,possess,1450
sâriputra,thousand,2466
thousand,thousand,5578
eighti,thousand,1168
thousand,bodhisattva,11569
monk,bodhisattva,4584
monk,suprem,3526
master,lord,1785
thousand,suprem,4311
thousand,enlighten,7808
lord,nun,1247
bodhisattva,nun,1213
have,bodhisattva,3684
have,suprem,1342
have,enlighten,2299
lord,head,1375
bodhisattva,head,1059
mother,lord,1087
eighti,lord,2347
eighti,bodhisattva,1487
eighti,law,1347
thousand,wheel,1078
thousand,law,13173
thousand,buddha,9122
bodhisattva,time,5026
bodhisattva,lord,23056
numer,bodhisattva,1337
bodhisattva,arhat,1172
bodhisattva,thought,1606
knowledg,bodhisattva,4010
bodhisattva,like,2969
great,bodhisattva,9932
duti,bodhisattva,1216
bodhisattva,reach,2912
bodhisattva,exist,2092
mind,bodhisattva,2532
bodhisattva,perfect,4646
bodhisattva,possess,1808
sâriputra,bodhisattva,2115
bodhisattva,bodhisattva,12735
endow,bodhisattva,1064
bodhisattva,suprem,4408
bodhisattva,enlighten,7227
bodhisattva,stand,1187
bodhisattva,wisdom,1296
bodhisattva,law,15057
bodhisattva,buddha,9111
endow,lord,1732
endow,law,1426
suprem,time,2026
suprem,lord,7418
knowledg,suprem,2085
suprem,like,1139
great,suprem,3784
