chapter,title,verse_num,text,topic,prob
1,INTRODUCTORY.,1,"Why, Mañgusrî, does this ray darted by the guide of men shine forth from between his brows? this single ray issuing from the circle of hair? and why this abundant rain of Mandâravas?",3,0.9522882103919983
1,INTRODUCTORY.,2,"The gods, overjoyed, let drop Mañgûshakas and sandal powder, divine, fragrant, and delicious.",0,0.9266529679298401
1,INTRODUCTORY.,3,"This earth is, on every side, replete with splendour, and all the four classes of the assembly are filled with delight, while the whole field shakes in six different ways, frightfully.",2,0.936949611
1,INTRODUCTORY.,4,"And that ray in the eastern quarter illuminates the whole of eighteen thousand Buddha-fields, simultaneously, so that those fields appear as gold-coloured.",3,0.9420273900032043
1,INTRODUCTORY.,5,"(The universe) as far as the (hell) Aviki (and) the extreme limit of existence, with all beings of those fields living in any of the six states of existence, those who are leaving one state to be born in another;",0,0.948943555
1,INTRODUCTORY.,6,"Their various and different actions in those states have become visible; whether they are in a happy, unhappy, low, eminent, or intermediate position, all that I see from this place.",2,0.9316577911376953
1,INTRODUCTORY.,7,"I see also the Buddhas, those lions of kings, revealing and showing the essence of the law, comforting many kotis of creatures and emitting sweet-sounding voices.",1,0.9455214142799377
1,INTRODUCTORY.,8,"They let go forth, each in his own field, a deep, sublime, wonderful voice, while proclaiming the Buddha-laws by means of myriads of kotis of illustrations and proofs.",1,0.540168285
1,INTRODUCTORY.,9,"And to the ignorant creatures who are oppressed with toils and distressed in mind by birth and old age, they announce the bliss of Rest, saying: This is the end of trouble, O monks.",1,0.9520523548126221
1,INTRODUCTORY.,10,"And to those who are possessed of strength and vigour and who have acquired merit by virtue or earnest belief in the Buddhas, they show the vehicle of the Pratyekabuddhas, by observing this rule of the law.",0,0.9451215267181396
1,INTRODUCTORY.,11,"And the other sons of the Sugata who, strivinor after superior knowledge, have constantly accomplished their various tasks, them also they admonish to enlightenment.",4,0.6128089427947998
1,INTRODUCTORY.,12,"From this place, O Mañgughosha, I see and hear such things and thousands of kotis of other particulars besides; I will only describe some of them.",1,0.8980894088745117
1,INTRODUCTORY.,13,"1 see in many fields Bodhisattvas by many thousands of kotis, like sands of the Ganges, who are producing enlightenment according to the different degree of their power.",3,0.941884458
1,INTRODUCTORY.,14,"There are some who charitably bestow wealth, gold, silver, gold money, pearls, jewels, conch shells, stones', coral, male and female slaves, horses, and sheep;",4,0.746897817
1,INTRODUCTORY.,15,"As well as litters adorned with jewels. They are spending gifts with glad hearts, developing themselves for superior enlightenment, in the hope of gaining the vehicle.",2,0.9413414597511292
1,INTRODUCTORY.,16,"(Thus they think): 'The best and most excellent vehicle in the whole of the threefold world is the Buddha-vehicle magnified by the Sugatas. May I, forsooth, soon gain it after my spending such gifts.'",0,0.9491833448410034
1,INTRODUCTORY.,17,"Some give carriages yoked with four horses and furnished with benches, flowers, banners, and flags; others give objects made of precious substances.",4,0.932624102
1,INTRODUCTORY.,18,"Some, again, give their children and wives; others their own flesh; (or) offer, when bidden, their hands and feet, striving to gain supreme enlightenment.",4,0.931233287
1,INTRODUCTORY.,19,"Some give their heads, others their eyes, others their dear own body, and after cheerfully bestowing their gifts they aspire to the knowledge of the Tathâgatas.",2,0.9254456162452698
1,INTRODUCTORY.,20,"Here and there, O Mañgusrî, I behold beings who have abandoned their flourishing kingdoms, harems, and continents, left all their counsellors and kinsmen,",3,0.9328615069389343
1,INTRODUCTORY.,21,"And betaken themselves to the guides of the world to ask for the most excellent law, for the sake of bliss; they put on reddish-yellow robes, and shave hair and beard.",1,0.9456193447113037
1,INTRODUCTORY.,22,"1 see also many Bodhisattvas like monks, living in the forest, and others inhabiting the empty wilderness, engaged in reciting and reading.",3,0.4735659956932068
1,INTRODUCTORY.,23,"And some Bodhisattvas I see, who, full of wisdom (or constancy), betake themselves to mountain caves, where by cultivating and meditating the Buddha-knowledge they arrive at its perception.",3,0.9372285008430481
1,INTRODUCTORY.,24,"Others who have renounced all sensual desires, by purifying their own self, have cleared their sphere and obtained the five transcendent faculties, live in the wilderness, as (true) sons of the Sugata.",1,0.5252566933631897
1,INTRODUCTORY.,25,"Some are standing firm, the feet put together and the hands joined in token of respect towards the leaders, and are praising joyfully the king of the leading Ginas in thousands of stanzas.",0,0.9485610127449036
1,INTRODUCTORY.,26,"Some thoughtful, meek, and tranquil, who have mastered the niceties of the course of duty, question the highest of men about the law, and retain in their memory what they have learnt.",2,0.9457215070724487
1,INTRODUCTORY.,27,"And I see here and there some sons of the principal Gina who, after completely developing their own self, are preaching the law to many kotis of living beings with many myriads of illustrations and reasons.",3,0.9453793168067932
1,INTRODUCTORY.,28,"joyfully they proclaim the law, rousing many Bodhisattvas; after conquering the Evil One with his hosts and vehicles, they strike the drum of the law.",1,0.937473714
1,INTRODUCTORY.,29,"1 see some sons of the Sugata, humble, calm, and quiet in conduct, living under the command of the Sugatas, and honoured by men, gods, goblins, and Titans.",0,0.945382297
1,INTRODUCTORY.,30,"Others, again, who have retired to woody thickets, are saving the creatures in the hells by emitting radiance from their body, and rouse them to enlightenment.",0,0.9323927164077759
1,INTRODUCTORY.,31,"There are some sons of the Gina who dwell in the forest, abiding in vigour, completely renouncing sloth, and actively engaged in walking; it is by energy that they are striving for supreme enlightenment.",2,0.9519961476325989
1,INTRODUCTORY.,32,Others complete their course by keeping a constant purity and an unbroken morality like precious stones and jewels; by morality do these strive for supreme enlightenment.,3,0.9488093852996826
1,INTRODUCTORY.,33,"Some sons of the Gina, whose strength consists in forbearance, patiently endure abuse, censure, and threats from proud monks. They try to attain enlightenment by dint of forbearance.",3,0.9540308117866516
1,INTRODUCTORY.,34,"Further, I see Bodhisattvas, who have forsaken all wanton pleasures, shun unwise companions and delight in having intercourse with genteel men (âryas);",0,0.9415769577026367
1,INTRODUCTORY.,35,"Who, with avoidance of any distraction of thoughts and with attentive mind, during thousands of kotis of years have meditated in the caves of the wilderness; these strive for enlightenment by dint of meditation.",3,0.656595767
1,INTRODUCTORY.,36,"Some, again, offer in presence of the Ginas and the assemblage of disciples gifts (consisting) in food hard and soft, meat and drink, medicaments for the sick, in plenty and abundance.",3,0.9518884420394897
1,INTRODUCTORY.,37,"Others offer in presence of the Ginas and the assemblage of disciples hundreds of kotis of clothes, worth thousands of kotis, and garments of priceless value.",3,0.9455735087394714
1,INTRODUCTORY.,38,"They bestow in presence of the Sugatas hundreds of kotis of monasteries which they have caused to be built of precious substances and sandal-wood, and which are furnished with numerous lodgings (or couches).",4,0.513859749
1,INTRODUCTORY.,39,"Some present the leaders of men and their disciples with neat and lovely gardens abounding with fruits and beautiful flowers, to serve as places of daily recreation,",0,0.9483847618103027
1,INTRODUCTORY.,40,"When they have, with joyful feelings, made such various and splendid donations, they rouse their energy in order to obtain enlightenment; these are those who try to reach supreme enlightenment by means of charitableness.",0,0.9487343430519104
1,INTRODUCTORY.,41,"Others set forth the law of quietness, by many myriads of illustrations and proofs; they preach it to thousands of kotis of living beings; these are tending to supreme enlightenment by science.",3,0.9513729214668274
1,INTRODUCTORY.,42,"(There are) sons of the Sugata who try to reach enlightenment by wisdom; they understand the law of indifference and avoid acting at the antinomy (of things), unattached like birds in the sky.",1,0.9547982215881348
1,INTRODUCTORY.,43,"Further, I see, O Mañgughosha, many Bodhisattvas who have displayed steadiness under the rule of the departed Sugatas, and now are worshipping the relics of the Ginas.",1,0.5518026351928711
1,INTRODUCTORY.,44,"1 see thousands of kotis of Stûpas, numerous as the sand of the Ganges, which have been raised by these sons of the Gina and now adorn kotis of grounds.",3,0.93711549
1,INTRODUCTORY.,45,"Those magnificent Stûpas, made of seven precious substances, with their thousands of kotis of umbrellas and banners, measure in height no less than 5000 yoganas and 2000 in circumference.",3,0.9420562386512756
1,INTRODUCTORY.,46,"They are always decorated with flags; a multitude of bells is constantly heard sounding; men, gods, goblins, and Titans pay their worship with flowers, perfumes, and music.",3,0.9519755244255066
1,INTRODUCTORY.,47,"Such honour do the sons of the Sugata render to the relics of the Ginas, so that all directions of space are brightened as by the celestial coral trees in full blossom.",3,0.9415221214294434
1,INTRODUCTORY.,48,"From this spot I behold all this; those numerous kotis of creatures; both this world and heaven covered with flowers, owing to the single ray shot forth by the Gina.",0,0.9482651352882385
1,INTRODUCTORY.,49,O how powerful is the Leader of men! how extensive and bright is his knowledge! that a single beam darted by him over the world renders visible so many thousands of fields!,3,0.9457595348358154
1,INTRODUCTORY.,50,"We are astonished at seeing this sign and this wonder, so great, so incomprehensible. Explain me the matter, O Mañgusvara! the sons of Buddha are anxious to know it.",0,0.9414935111999512
1,INTRODUCTORY.,51,"The four classes of the congregation in joyful expectation gaze on thee, O hero, and on me; gladden (their hearts); remove their doubts; grant a revelation, O son of Sugata!",4,0.8428381681442261
1,INTRODUCTORY.,52,Why is it that the Sugata has now emitted such a light? O how great is the power of the Leader of men! O how extensive and holy is his knowledge!,1,0.7081533670425415
1,INTRODUCTORY.,53,That one ray extending from him all over the world makes visible many thousands of fields. It must be for some purpose that this great ray has been emitted.,0,0.7107976675033569
1,INTRODUCTORY.,54,"Is the Lord of men to show the primordial laws which he, the Highest of men, discovered on the terrace of enlightenment? Or is he to prophesy the Bodhisattvas their future destiny?",3,0.9416117072105408
1,INTRODUCTORY.,55,"There must be a weighty reason why so many thousands of fields have been rendered visible, variegated, splendid, and shining with gems, while Buddhas of infinite sight are appearing.",3,0.9459609985351562
